Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0040"
"0.0200","0.0000","0.0024"
"0.0400","0.0001","-0.0008"
"0.0600","0.0004","0.0047"
"0.0800","0.0007","-0.0024"
"0.1000","0.0016","0.0183"
"0.1200","0.0036","0.0265"
"0.1400","0.0067","0.0234"
"0.1600","0.0104","0.0054"
"0.1800","0.0140","0.0108"
"0.2000","0.0176","0.0226"
"0.2200","0.0211","0.0032"
"0.2400","0.0244","0.0178"
"0.2600","0.0278","0.0236"
"0.2800","0.0312","0.0173"
"0.3000","0.0348","0.0255"
"0.3200","0.0383","0.0130"
"0.3400","0.0415","0.0138"
"0.3600","0.0442","0.0325"
"0.3800","0.0468","0.0353"
"0.4000","0.0495","0.0304"
"0.4200","0.0524","0.0307"
"0.4400","0.0555","0.0390"
"0.4600","0.0587","0.0262"
"0.4800","0.0622","0.0362"
"0.5000","0.0660","0.0551"
"0.5200","0.0699","0.0339"
"0.5400","0.0738","0.0323"
"0.5600","0.0775","0.0435"
"0.5800","0.0811","0.0415"
"0.6000","0.0847","0.0461"
"0.6200","0.0884","0.0449"
"0.6400","0.0919","0.0405"
"0.6600","0.0949","0.0391"
"0.6800","0.0975","0.0488"
"0.7000","0.1001","0.0602"
"0.7200","0.1029","0.0396"
"0.7400","0.1059","0.0523"
"0.7600","0.1089","0.0602"
"0.7800","0.1122","0.0554"
"0.8000","0.1158","0.0585"
"0.8200","0.1196","0.0545"
"0.8400","0.1235","0.0629"
"0.8600","0.1273","0.0550"
"0.8800","0.1308","0.0555"
"0.9000","0.1342","0.0598"
"0.9200","0.1377","0.0620"
"0.9400","0.1412","0.0660"
"0.9600","0.1444","0.0542"
"0.9800","0.1472","0.0599"
"1.0000","0.1498","0.0726"
"1.0200","0.1525","0.0675"
"1.0400","0.1554","0.0787"
"1.0600","0.1586","0.0794"
"1.0800","0.1619","0.0716"
"1.1000","0.1654","0.0757"
"1.1200","0.1692","0.0739"
"1.1400","0.1731","0.0751"
"1.1600","0.1771","0.0739"
"1.1800","0.1808","0.0798"
"1.2000","0.1843","0.0855"
"1.2200","0.1879","0.0784"
"1.2400","0.1916","0.0926"
"1.2600","0.1951","0.0769"
"1.2800","0.1982","0.0858"
"1.3000","0.2009","0.1038"
"1.3200","0.2035","0.0844"
"1.3400","0.2063","0.0905"
"1.3600","0.2093","0.0938"
"1.3800","0.2124","0.0935"
"1.4000","0.2156","0.0949"
"1.4200","0.2190","0.0960"
"1.4400","0.2226","0.1156"
"1.4600","0.2265","0.0994"
"1.4800","0.2303","0.0976"
"1.5000","0.2338","0.0971"
"1.5200","0.2373","0.0961"
"1.5400","0.2408","0.1153"
"1.5600","0.2444","0.1121"
"1.5800","0.2479","0.1137"
"1.6000","0.2510","0.1188"
"1.6200","0.2536","0.1109"
"1.6400","0.2562","0.1221"
"1.6600","0.2590","0.1183"
"1.6800","0.2620","0.1202"
"1.7000","0.2651","0.1153"
"1.7200","0.2685","0.1179"
"1.7400","0.2721","0.1461"
"1.7600","0.2761","0.1311"
"1.7800","0.2801","0.1212"
"1.8000","0.2841","0.1306"
"1.8200","0.2879","0.1229"
"1.8400","0.2915","0.1396"
"1.8600","0.2951","0.1298"
"1.8800","0.2985","0.1201"
"1.9000","0.3017","0.1427"
"1.9200","0.3044","0.1509"
"1.9400","0.3069","0.1382"
"1.9600","0.3096","0.1328"
"1.9800","0.3124","0.1479"
"2.0000","0.3154","0.1484"
"2.0200","0.3185","0.1418"
"2.0400","0.3218","0.1668"
"2.0600","0.3254","0.1425"
"2.0800","0.3292","0.1435"
"2.1000","0.3330","0.1496"
"2.1200","0.3367","0.1435"
"2.1400","0.3402","0.1702"
"2.1600","0.3437","0.1666"
"2.1800","0.3473","0.1564"
"2.2000","0.3508","0.1599"
"2.2200","0.3540","0.1631"
"2.2400","0.3568","0.1691"
"2.2600","0.3595","0.1593"
"2.2800","0.3623","0.1638"
"2.3000","0.3653","0.1653"
"2.3200","0.3684","0.1703"
"2.3400","0.3716","0.1806"
"2.3600","0.3752","0.1678"
"2.3800","0.3790","0.1810"
"2.4000","0.3830","0.1870"
"2.4200","0.3870","0.1789"
"2.4400","0.3908","0.1826"
"2.4600","0.3944","0.1647"
"2.4800","0.3982","0.1793"
"2.5000","0.4019","0.1807"
"2.5200","0.4053","0.1782"
"2.5400","0.4081","0.2006"
"2.5600","0.4108","0.1944"
"2.5800","0.4134","0.1904"
"2.6000","0.4163","0.1898"
"2.6200","0.4192","0.1934"
"2.6400","0.4223","0.1969"
"2.6600","0.4255","0.2058"
"2.6800","0.4290","0.2135"
"2.7000","0.4328","0.2010"
"2.7200","0.4366","0.2128"
"2.7400","0.4403","0.2128"
"2.7600","0.4438","0.2004"
"2.7800","0.4474","0.2297"
"2.8000","0.4511","0.2217"
"2.8200","0.4547","0.2069"
"2.8400","0.4580","0.2145"
"2.8600","0.4608","0.2200"
"2.8800","0.4634","0.2301"
"2.9000","0.4661","0.2284"
"2.9200","0.4691","0.2303"
"2.9400","0.4721","0.2283"
"2.9600","0.4753","0.2358"
"2.9800","0.4787","0.2369"
"3.0000","0.4824","0.2280"
"3.0200","0.4864","0.2338"
"3.0400","0.4904","0.2447"
"3.0600","0.4942","0.2421"
"3.0800","0.4979","0.2603"
"3.1000","0.5015","0.2522"
"3.1200","0.5050","0.2426"
"3.1400","0.5084","0.2434"
"3.1600","0.5113","0.2607"
"3.1800","0.5139","0.2656"
"3.2000","0.5165","0.2699"
"3.2200","0.5193","0.2686"
"3.2400","0.5223","0.2542"
"3.2600","0.5254","0.2610"
"3.2800","0.5286","0.2811"
"3.3000","0.5321","0.2744"
"3.3200","0.5359","0.2626"
"3.3400","0.5399","0.2789"
"3.3600","0.5438","0.2788"
"3.3800","0.5474","0.2822"
"3.4000","0.5508","0.2888"
"3.4200","0.5543","0.2840"
"3.4400","0.5579","0.2965"
"3.4600","0.5612","0.3042"
"3.4800","0.5641","0.2958"
"3.5000","0.5668","0.2908"
"3.5200","0.5695","0.3128"
"3.5400","0.5724","0.3085"
"3.5600","0.5755","0.2985"
"3.5800","0.5787","0.3105"
"3.6000","0.5821","0.3168"
"3.6200","0.5858","0.3189"
"3.6400","0.5897","0.3213"
"3.6600","0.5936","0.3186"
"3.6800","0.5974","0.3236"
"3.7000","0.6009","0.3281"
"3.7200","0.6045","0.3342"
"3.7400","0.6081","0.3360"
"3.7600","0.6116","0.3463"
"3.7800","0.6147","0.3365"
"3.8000","0.6175","0.3323"
"3.8200","0.6201","0.3505"
"3.8400","0.6229","0.3489"
"3.8600","0.6258","0.3550"
"3.8800","0.6288","0.3653"
"3.9000","0.6319","0.3623"
"3.9200","0.6352","0.3524"
"3.9400","0.6388","0.3637"
"3.9600","0.6426","0.3676"
"3.9800","0.6463","0.3701"
"4.0000","0.6499","0.3772"
"4.0200","0.6534","0.3781"
"4.0400","0.6570","0.3875"
"4.0600","0.6606","0.3907"
"4.0800","0.6641","0.3919"
"4.1000","0.6673","0.3934"
"4.1200","0.6701","0.4016"
"4.1400","0.6728","0.4023"
"4.1600","0.6757","0.4113"
"4.1800","0.6788","0.4178"
"4.2000","0.6820","0.4130"
"4.2200","0.6854","0.4057"
"4.2400","0.6889","0.4271"
"4.2600","0.6928","0.4435"
"4.2800","0.6968","0.4372"
"4.3000","0.7007","0.4341"
"4.3200","0.7043","0.4419"
"4.3400","0.7079","0.4486"
"4.3600","0.7115","0.4480"
"4.3800","0.7150","0.4604"
"4.4000","0.7182","0.4476"
"4.4200","0.7209","0.4564"
"4.4400","0.7235","0.4583"
"4.4600","0.7262","0.4626"
"4.4800","0.7291","0.4728"
"4.5000","0.7322","0.4764"
"4.5200","0.7353","0.4806"
"4.5400","0.7387","0.4899"
"4.5600","0.7424","0.5020"
"4.5800","0.7463","0.4905"
"4.6000","0.7502","0.4956"
"4.6200","0.7539","0.5088"
"4.6400","0.7575","0.5115"
"4.6600","0.7610","0.5241"
"4.6800","0.7646","0.5340"
"4.7000","0.7681","0.5185"
"4.7200","0.7712","0.5121"
"4.7400","0.7740","0.5255"
"4.7600","0.7766","0.5365"
"4.7800","0.7794","0.5433"
"4.8000","0.7824","0.5423"
"4.8200","0.7856","0.5450"
"4.8400","0.7889","0.5529"
"4.8600","0.7925","0.5596"
"4.8800","0.7963","0.5612"
"4.9000","0.8003","0.5687"
"4.9200","0.8041","0.5831"
"4.9400","0.8076","0.5865"
"4.9600","0.8111","0.5830"
"4.9800","0.8148","0.5904"
"5.0000","0.8184","0.5967"
"5.0200","0.8217","0.5944"
"5.0400","0.8246","0.6020"
"5.0600","0.8271","0.6013"
"5.0800","0.8298","0.6124"
"5.1000","0.8326","0.6132"
"5.1200","0.8355","0.6154"
"5.1400","0.8385","0.6279"
"5.1600","0.8416","0.6430"
"5.1800","0.8451","0.6409"
"5.2000","0.8489","0.6496"
"5.2200","0.8528","0.6483"
"5.2400","0.8566","0.6486"
"5.2600","0.8603","0.6645"
"5.2800","0.8639","0.6742"
"5.3000","0.8677","0.6760"
"5.3200","0.8714","0.6749"
"5.3400","0.8747","0.6863"
"5.3600","0.8775","0.6862"
"5.3800","0.8801","0.6879"
"5.4000","0.8829","0.7067"
"5.4200","0.8858","0.7145"
"5.4400","0.8889","0.7013"
"5.4600","0.8920","0.7081"
"5.4800","0.8955","0.7207"
"5.5000","0.8992","0.7417"
"5.5200","0.9032","0.7392"
"5.5400","0.9071","0.7500"
"5.5600","0.9108","0.7495"
"5.5800","0.9144","0.7564"
"5.6000","0.9179","0.7697"
"5.6200","0.9214","0.7596"
"5.6400","0.9248","0.7667"
"5.6600","0.9277","0.7774"
"5.6800","0.9303","0.7821"
"5.7000","0.9329","0.7865"
"5.7200","0.9357","0.8019"
"5.7400","0.9387","0.8033"
"5.7600","0.9418","0.7998"
"5.7800","0.9450","0.8152"
"5.8000","0.9486","0.8351"
"5.8200","0.9524","0.8346"
"5.8400","0.9563","0.8450"
"5.8600","0.9601","0.8494"
"5.8800","0.9637","0.8529"
"5.9000","0.9672","0.8814"
"5.9200","0.9708","0.8826"
"5.9400","0.9745","0.8820"
"5.9600","0.9779","0.8872"
"5.9800","0.9808","0.9027"
"6.0000","0.9835","0.9006"
"6.0200","0.9861","0.8998"
"6.0400","0.9891","0.9211"
"6.0600","0.9922","0.9286"
"6.0800","0.9955","0.9376"
"6.1000","0.9989","0.9443"
"6.1200","1.0025","0.9498"
"6.1400","1.0063","0.9716"
"6.1600","1.0102","0.9714"
"6.1800","1.0139","0.9780"
"6.2000","1.0175","1.0109"
"6.2200","1.0211","1.0114"
"6.2400","1.0247","1.0233"
"6.2600","1.0282","1.0296"
"6.2800","1.0314","1.0350"
"6.3000","1.0341","1.0408"
"6.3200","1.0367","1.0472"
"6.3400","1.0394","1.0488"
"6.3600","1.0423","1.0530"
"6.3800","1.0453","1.0743"
"6.4000","1.0483","1.0808"
"6.4200","1.0517","1.0868"
"6.4400","1.0555","1.1133"
"6.4600","1.0594","1.1288"
"6.4800","1.0634","1.1325"
"6.5000","1.0672","1.1426"
"6.5200","1.0709","1.1461"
"6.5400","1.0746","1.1689"
"6.5600","1.0784","1.1824"
"6.5800","1.0818","1.1856"
"6.6000","1.0847","1.1975"
"6.6200","1.0873","1.1936"
"6.6400","1.0899","1.2073"
"6.6600","1.0927","1.2242"
"6.6800","1.0957","1.2317"
"6.7000","1.0988","1.2432"
"6.7200","1.1021","1.2580"
"6.7400","1.1057","1.2669"
"6.7600","1.1095","1.2764"
"6.7800","1.1135","1.3051"
"6.8000","1.1174","1.3277"
"6.8200","1.1210","1.3233"
"6.8400","1.1245","1.3407"
"6.8600","1.1280","1.3533"
"6.8800","1.1315","1.3653"
"6.9000","1.1347","1.3770"
"6.9200","1.1375","1.3832"
"6.9400","1.1401","1.3962"
"6.9600","1.1428","1.4072"
"6.9800","1.1458","1.4065"
"7.0000","1.1489","1.4181"
"7.0200","1.1520","1.4394"
"7.0400","1.1554","1.4578"
"7.0600","1.1592","1.4609"
"7.0800","1.1632","1.4902"
"7.1000","1.1670","1.5114"
"7.1200","1.1706","1.5169"
"7.1400","1.1740","1.5462"
"7.1600","1.1774","1.5530"
"7.1800","1.1810","1.5663"
"7.2000","1.1845","1.5789"
"7.2200","1.1877","1.5774"
"7.2400","1.1906","1.6044"
"7.2600","1.1933","1.6086"
"7.2800","1.1961","1.6164"
"7.3000","1.1991","1.6350"
"7.3200","1.2022","1.6500"
"7.3400","1.2055","1.6745"
"7.3600","1.2090","1.6854"
"7.3800","1.2127","1.7101"
"7.4000","1.2166","1.7240"
"7.4200","1.2204","1.7421"
"7.4400","1.2239","1.7763"
"7.4600","1.2275","1.7888"
"7.4800","1.2311","1.8057"
"7.5000","1.2347","1.8180"
"7.5200","1.2381","1.8446"
"7.5400","1.2410","1.8557"
"7.5600","1.2436","1.8564"
"7.5800","1.2463","1.8795"
"7.6000","1.2491","1.8838"
"7.6200","1.2521","1.9049"
"7.6400","1.2551","1.9380"
"7.6600","1.2583","1.9361"
"7.6800","1.2619","1.9642"
"7.7000","1.2656","1.9928"
"7.7200","1.2696","2.0072"
"7.7400","1.2734","2.0305"
"7.7600","1.2770","2.0633"
"7.7800","1.2806","2.0779"
"7.8000","1.2843","2.1020"
"7.8200","1.2880","2.1313"
"7.8400","1.2913","2.1400"
"7.8600","1.2941","2.1575"
"7.8800","1.2967","2.1705"
"7.9000","1.2994","2.1732"
"7.9200","1.3024","2.1928"
"7.9400","1.3054","2.2244"
"7.9600","1.3086","2.2269"
"7.9800","1.3120","2.2581"
"8.0000","1.3157","2.2948"
"8.0200","1.3196","2.3108"
"8.0400","1.3235","2.3485"
"8.0600","1.3272","2.3819"
"8.0800","1.3308","2.4001"
"8.1000","1.3344","2.4295"
"8.1200","1.3379","2.4584"
"8.1400","1.3413","2.4595"
"8.1600","1.3443","2.4692"
"8.1800","1.3470","2.5072"
"8.2000","1.3497","2.5087"
"8.2200","1.3525","2.5149"
"8.2400","1.3555","2.5515"
"8.2600","1.3585","2.5654"
"8.2800","1.3618","2.5954"
"8.3000","1.3654","2.6309"
"8.3200","1.3693","2.6690"
"8.3400","1.3734","2.7084"
"8.3600","1.3773","2.7403"
"8.3800","1.3810","2.7713"
"8.4000","1.3845","2.7890"
"8.4200","1.3881","2.8314"
"8.4400","1.3917","2.8557"
"8.4600","1.3949","2.8653"
"8.4800","1.3977","2.8940"
"8.5000","1.4003","2.9050"
"8.5200","1.4029","2.9232"
"8.5400","1.4059","2.9399"
"8.5600","1.4090","2.9548"
"8.5800","1.4122","2.9996"
"8.6000","1.4155","3.0396"
"8.6200","1.4191","3.0682"
"8.6400","1.4228","3.1130"
"8.6600","1.4266","3.1507"
"8.6800","1.4303","3.1789"
"8.7000","1.4338","3.2066"
"8.7200","1.4374","3.2489"
"8.7400","1.4410","3.2798"
"8.7600","1.4446","3.3115"
"8.7800","1.4479","3.3396"
"8.8000","1.4507","3.3577"
"8.8200","1.4534","3.3898"
"8.8400","1.4561","3.4147"
"8.8600","1.4591","3.4267"
"8.8800","1.4621","3.4618"
"8.9000","1.4653","3.4941"
"8.9200","1.4687","3.5435"
"8.9400","1.4725","3.5830"
"8.9600","1.4765","3.6286"
"8.9800","1.4804","3.6855"
"9.0000","1.4841","3.7282"
"9.0200","1.4877","3.7677"
"9.0400","1.4914","3.8078"
"9.0600","1.4950","3.8512"
"9.0800","1.4983","3.8669"
"9.1000","1.5012","3.8945"
"9.1200","1.5038","3.9217"
"9.1400","1.5065","3.9366"
"9.1600","1.5093","3.9684"
"9.1800","1.5123","4.0010"
"9.2000","1.5155","4.0240"
"9.2200","1.5188","4.0825"
"9.2400","1.5223","4.1360"
"9.2600","1.5260","4.1751"
"9.2800","1.5299","4.2493"
"9.3000","1.5338","4.3056"
"9.3200","1.5374","4.3505"
"9.3400","1.5409","4.3933"
"9.3600","1.5444","4.4377"
"9.3800","1.5479","4.4771"
"9.4000","1.5511","4.5217"
"9.4200","1.5540","4.5364"
"9.4400","1.5566","4.5452"
"9.4600","1.5593","4.5924"
"9.4800","1.5623","4.6357"
"9.5000","1.5653","4.6772"
"9.5200","1.5684","4.7283"
"9.5400","1.5718","4.7885"
"9.5600","1.5755","4.8483"
"9.5800","1.5795","4.9291"
"9.6000","1.5834","4.9953"
"9.6200","1.5871","5.0525"
"9.6400","1.5906","5.1112"
"9.6600","1.5941","5.1687"
"9.6800","1.5978","5.2212"
"9.7000","1.6013","5.2696"
"9.7200","1.6045","5.3074"
"9.7400","1.6072","5.3304"
"9.7600","1.6097","5.3647"
"9.7800","1.6125","5.4000"
"9.8000","1.6154","5.4581"
"9.8200","1.6185","5.5047"
"9.8400","1.6218","5.5672"
"9.8600","1.6252","5.6403"
"9.8800","1.6289","5.7228"
"9.9000","1.6327","5.8041"
"9.9200","1.6366","5.8878"
"9.9400","1.6403","5.9522"
"9.9600","1.6439","6.0226"
"9.9800","1.6476","6.1020"
"10.0000","1.6513","6.1700"
"10.0200","1.6548","6.2302"
"10.0400","1.6578","6.2686"
"10.0600","1.6605","6.3078"
"10.0800","1.6632","6.3439"
"10.1000","1.6661","6.3952"
"10.1200","1.6691","6.4560"
"10.1400","1.6722","6.5203"
"10.1600","1.6755","6.5982"
"10.1800","1.6791","6.6996"
"10.2000","1.6829","6.8100"
"10.2200","1.6868","6.9060"
"10.2400","1.6905","6.9884"
"10.2600","1.6942","7.0741"
"10.2800","1.6978","7.1601"
"10.3000","1.7013","7.2484"
"10.3200","1.7048","7.3220"
"10.3400","1.7080","7.3630"
"10.3600","1.7108","7.4139"
"10.3800","1.7134","7.4523"
"10.4000","1.7161","7.5093"
"10.4200","1.7190","7.5776"
"10.4400","1.7220","7.6610"
"10.4600","1.7252","7.7484"
"10.4800","1.7286","7.8438"
"10.5000","1.7323","7.9668"
"10.5200","1.7361","8.1020"
"10.5400","1.7401","8.2185"
"10.5600","1.7438","8.3232"
"10.5800","1.7474","8.4289"
"10.6000","1.7510","8.5316"
"10.6200","1.7546","8.6254"
"10.6400","1.7580","8.7234"
"10.6600","1.7610","8.7853"
"10.6800","1.7637","8.8253"
"10.7000","1.7663","8.8998"
"10.7200","1.7691","8.9606"
"10.7400","1.7721","9.0491"
"10.7600","1.7753","9.1723"
"10.7800","1.7786","9.2952"
"10.8000","1.7823","9.4392"
"10.8200","1.7863","9.6023"
"10.8400","1.7904","9.7825"
"10.8600","1.7943","9.9217"
"10.8800","1.7979","10.0436"
"10.9000","1.8014","10.1537"
"10.9200","1.8049","10.2687"
"10.9400","1.8084","10.3930"
"10.9600","1.8116","10.4841"
"10.9800","1.8144","10.5438"
"11.0000","1.8170","10.6052"
"11.0200","1.8196","10.6772"
"11.0400","1.8224","10.7849"
"11.0600","1.8254","10.8882"
"11.0800","1.8285","11.0089"
"11.1000","1.8317","11.1704"
"11.1200","1.8352","11.3409"
"11.1400","1.8389","11.5249"
"11.1600","1.8427","11.7163"
"11.1800","1.8465","11.9016"
"11.2000","1.8501","12.0757"
"11.2200","1.8538","12.2473"
"11.2400","1.8575","12.4316"
"11.2600","1.8612","12.6020"
"11.2800","1.8646","12.7290"
"11.3000","1.8674","12.8100"
"11.3200","1.8700","12.8816"
"11.3400","1.8728","12.9963"
"11.3600","1.8758","13.1368"
"11.3800","1.8788","13.2800"
"11.4000","1.8819","13.4495"
"11.4200","1.8853","13.6504"
"11.4400","1.8890","13.9037"
"11.4600","1.8929","14.1509"
"11.4800","1.8968","14.3954"
"11.5000","1.9005","14.6346"
"11.5200","1.9042","14.8420"
"11.5400","1.9078","15.0472"
"11.5600","1.9114","15.2584"
"11.5800","1.9148","15.4400"
"11.6000","1.9177","15.5567"
"11.6200","1.9203","15.6273"
"11.6400","1.9228","15.7352"
"11.6600","1.9255","15.8823"
"11.6800","1.9285","16.0720"
"11.7000","1.9315","16.2915"
"11.7200","1.9347","16.5116"
"11.7400","1.9383","16.8083"
"11.7600","1.9421","17.1452"
"11.7800","1.9460","17.4847"
"11.8000","1.9499","17.7957"
"11.8200","1.9536","18.0776"
"11.8400","1.9573","18.3691"
"11.8600","1.9610","18.6721"
"11.8800","1.9647","18.9736"
"11.9000","1.9681","19.2027"
"11.9200","1.9710","19.3548"
"11.9400","1.9737","19.5015"
"11.9600","1.9764","19.6777"
"11.9800","1.9794","19.9313"
"12.0000","1.9825","20.2144"
"12.0200","1.9857","20.5157"
"12.0400","1.9892","20.9078"
"12.0600","1.9931","21.3509"
"12.0800","1.9970","21.8037"
"12.1000","2.0009","22.2110"
"12.1200","2.0044","22.5371"
"12.1400","2.0078","22.8536"
"12.1600","2.0111","23.2012"
"12.1800","2.0146","23.5779"
"12.2000","2.0179","23.8921"
"12.2200","2.0209","24.1599"
"12.2400","2.0236","24.3576"
"12.2600","2.0261","24.5566"
"12.2800","2.0288","24.8675"
"12.3000","2.0319","25.2515"
"12.3200","2.0351","25.6708"
"12.3400","2.0384","26.1401"
"12.3600","2.0419","26.6566"
"12.3800","2.0456","27.2337"
"12.4000","2.0495","27.8399"
"12.4200","2.0533","28.4125"
"12.4400","2.0570","28.9346"
"12.4600","2.0606","29.4590"
"12.4800","2.0642","30.0235"

